"","Zip","Amt1"
"1029","95132-3212",300
"1030","95132-3303",800
"1031","95132-3501",1500
"1032","95133",13405.7
"1033","95133-1029",200
"1034","95133-1406",250
"1035","95133-1434",200
"1036","95133-1530",300
"1037","95133-1543",750
"1038","95133-1728",150
"1039","95133-1756",900
"1040","95133-2018",400
"1041","95133-2220",250
"1042","95133-2331",75
"1043","95134",3618
"1044","95134-1846",150
"1045","95135",30830
"1046","95135-0000",3300
"1047","95135-1005",300
"1048","95135-1057",1500
"1049","95135-1100",100
"1050","95135-1103",100
"1051","95135-1123",700
"1052","95135-1157",650
"1053","95135-1170",450
"1054","95135-1182",200
"1055","95135-1184",198
"1056","95135-1260",500
"1057","95135-1273",300
"1058","95135-1276",300
"1059","95135-1306",300
"1060","95135-1307",2000
"1061","95135-1318",150
"1062","95135-1372",300
"1063","95135-1416",300
"1064","95135-1426",200
"1065","95135-1428",1250
"1066","95135-1714",300
"1067","95135-2129",100
"1068","95135-2169",300
"1069","95135-2174",600
"1070","95135-2200",500
"1071","95135-2222",4800
"1072","95135-2353",300
"1073","95135-2359",150
"1074","95136",31091.98
"1075","95136-1358",500
"1076","95136-1458",1100
"1077","95136-2007",200
"1078","95136-2040",500
"1079","95136-2674",750
"1080","95136-2714",150
"1081","95136-2803",1500
"1082","95136-3849",75
"1083","95136-4502",1700
"1084","95136-4803",300
"1085","95136-4830",200
"1086","95136-4908",100
"1087","95137",500
"1088","95138",44970
"1089","95138-0000",300
"1090","95138-1330",100
"1091","95138-1843",100
"1092","95138-2106",300
"1093","95138-2119",3300
"1094","95138-2132",750
"1095","95138-2216",300
"1096","95138-2227",1500
"1097","95138-2350",3000
"1098","95138-2412",600
"1099","95138-2421",250
"1100","95138-2461",150
"1101","95138-2464",100
"1102","95138-2465",2200
"1103","95138-2752",400
"1104","95139",1560
"1105","95139-1446",75
"1106","95140",5500
"1107","95140-9701",3300
"1108","95141",200
"1109","95148",77626
"1110","95148-0000",4400
"1111","95148-1007",500
"1112","95148-1102",150
"1113","95148-1214",600
"1114","95148-1222",300
"1115","95148-1923",600
"1116","95148-2036",60
"1117","95148-2054",900
"1118","95148-2126",2150
"1119","95148-2136",2200
"1120","95148-2212",300
"1121","95148-2254",3000
"1122","95148-2523",50
"1123","95148-2731",240
"1124","95148-2826",300
"1125","95148-3044",150
"1126","95148-3106",3075
"1127","95148-3155",600
"1128","95148-3517",400
"1129","95148-3802",400
"1130","95148-3810",225
"1131","95148-4050",1000
"1132","95148-4308",100
"1133","95148-4313",600
"1134","95148-4342",600
"1135","95148-4357",150
"1136","95148-4387",600
"1137","95148-4389",250
"1138","95150",15606
"1139","95150-6662",500
"1140","95151",2725
"1141","95151-1471",200
"1142","95153",80
"1143","95153-0807",100
"1144","95155",200
"1145","95159",2600
"1146","95160",105
"1147","95160-1276",100
"1148","95161",1500
"1149","95164",2180
"1150","95170",1000
"1151","95173",3000
"1152","95201",500
"1153","95203",250
"1154","95204",500
"1155","95206",398
"1156","95209",1000
"1157","95219",1150
"1158","95242-3312",600
"1159","95247",50
"1160","95258",200
"1161","95301",1005
"1162","95311",100
"1163","95321",200
"1164","95337",140.98
"1165","95337-5570",75
"1166","95340",100
"1167","95350",5
"1168","95355",100
"1169","95356",200
"1170","95360",2200
"1171","95361",150
"1172","95376",450
"1173","95377",890
"1174","95382",300
"1175","95382-8811",100
"1176","95391",300
"1177","95404",100
"1178","95436",100
"1179","95442",750
"1180","95448",1100
"1181","95472",50
"1182","95476",100
"1183","95492",2000
"1184","95611",750
"1185","95616",15
"1186","95618",200
"1187","95624",1050
"1188","95628",50
"1189","95630",4500
"1190","95631",4400
"1191","95648",250
"1192","95648-8127",750
"1193","95648-8710",300
"1194","95650",300
"1195","95661",500
"1196","95667",120
"1197","95682",300
"1198","95685",201.4
"1199","95689",200
"1200","95690-9751",750
